date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
April 1,0,0,0,0,0.0,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,1000,0,2000,0,0,0
April 2,0,0,0,1312.5,0.0,0,NA,NA,0,NA,0,0,NA,4000,NA,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,31000,0,3000,0,0,0,0,3000
April 3,0,0,0,1625,0.0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,1000,0,0,0,9000,0,0,0,0,0,0,0,1000,0,0,3000,0,0,0,0,4000,0,4000,0,6000,0,0,1000
April 4,0,0,0,0,0.0,0,NA,NA,0,NA,0,0,NA,73000,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,4000,0,3000,0,11000,0,0,0
April 5,0,0,0,0,0.0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44000,0,2000,0,14000,0,0,0
April 6,0,0,0,0,0.0,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,211000,0,0,0,2000,0,0,0
April 7,0,0,0,750,0.0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,1000,0,0,0,0,1000,0,0,0,0,0,0,0,0,15000,1000,0,0,1000,0,0,0,89000,0,1000,0,4000,0,0,0
April 8,0,0,0,1875,0.0,6000,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,34000,0,2000,0,0,0,2000,0,2000,0,1000,0,1000,0,0,0
April 9,0,0,0,1250,0.0,NA,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,1000,0,NA,NA,0,9000,0,0,0,0,0,35000,0,0,1000,0,0,0,0,0,0,1000,0,5000,0,1000,1000
April 10,0,0,0,0,0.0,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,1000,1000,2000
