date,range,daily.mean,base.high,base.low,record.high,record.low
2020-01-01T00:00:00Z,NA,NA,2.56,-2.27,12.2,-19.3
2020-01-01T12:00:00Z,-3.5,1.7,2.56,-2.27,12.2,-19.3
2020-01-01T12:00:00Z,4.8,NA,2.56,-2.27,12.2,-19.3
2020-01-01T23:59:59Z,NA,NA,2.56,-2.27,12.2,-19.3
2020-01-02T00:00:00Z,NA,NA,2.91,-1.99,12.9,-21.4
2020-01-02T12:00:00Z,-4.3,0.5,2.91,-1.99,12.9,-21.4
2020-01-02T12:00:00Z,6.9,NA,2.91,-1.99,12.9,-21.4
2020-01-02T23:59:59Z,NA,NA,2.91,-1.99,12.9,-21.4
2020-01-03T00:00:00Z,NA,NA,3.22,-1.86,12.7,-18.3
2020-01-03T12:00:00Z,1.1,4.5,3.22,-1.86,12.7,-18.3
2020-01-03T12:00:00Z,7,NA,3.22,-1.86,12.7,-18.3
2020-01-03T23:59:59Z,NA,NA,3.22,-1.86,12.7,-18.3
2020-01-04T00:00:00Z,NA,NA,2.84,-1.63,11.6,-18.8
2020-01-04T12:00:00Z,1.3,3.9,2.84,-1.63,11.6,-18.8
2020-01-04T12:00:00Z,5.6,NA,2.84,-1.63,11.6,-18.8
2020-01-04T23:59:59Z,NA,NA,2.84,-1.63,11.6,-18.8
2020-01-05T00:00:00Z,NA,NA,2.99,-2.19,14.2,-16.1
2020-01-05T12:00:00Z,-2.8,1.2,2.99,-2.19,14.2,-16.1
2020-01-05T12:00:00Z,3.9,NA,2.99,-2.19,14.2,-16.1
2020-01-05T23:59:59Z,NA,NA,2.99,-2.19,14.2,-16.1
2020-01-06T00:00:00Z,NA,NA,3.56,-1.57,14.6,-16.6
2020-01-06T12:00:00Z,2.4,4.9,3.56,-1.57,14.6,-16.6
2020-01-06T12:00:00Z,6.9,NA,3.56,-1.57,14.6,-16.6
2020-01-06T23:59:59Z,NA,NA,3.56,-1.57,14.6,-16.6
2020-01-07T00:00:00Z,NA,NA,2.85,-2.47,11.5,-19.7
2020-01-07T12:00:00Z,-2.2,2.6,2.85,-2.47,11.5,-19.7
2020-01-07T12:00:00Z,5.7,NA,2.85,-2.47,11.5,-19.7
2020-01-07T23:59:59Z,NA,NA,2.85,-2.47,11.5,-19.7
2020-01-08T00:00:00Z,NA,NA,2.65,-2.91,12.5,-17.3
2020-01-08T12:00:00Z,3.2,6.4,2.65,-2.91,12.5,-17.3
2020-01-08T12:00:00Z,8.8,NA,2.65,-2.91,12.5,-17.3
2020-01-08T23:59:59Z,NA,NA,2.65,-2.91,12.5,-17.3
2020-01-09T00:00:00Z,NA,NA,2.85,-2.3,14.1,-17.4
2020-01-09T12:00:00Z,7.4,8.5,2.85,-2.3,14.1,-17.4
2020-01-09T12:00:00Z,10,NA,2.85,-2.3,14.1,-17.4
2020-01-09T23:59:59Z,NA,NA,2.85,-2.3,14.1,-17.4
2020-01-10T00:00:00Z,NA,NA,3.13,-1.45,15.1,-19.2
2020-01-10T12:00:00Z,4.2,9.2,3.13,-1.45,15.1,-19.2
