Country,Week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average,Date,Baseline
AUT,1,1867,1580,1632,1661,1718,1534,1504,1576,1686,1681,1557,1579,1574,1637,1549,1704,1634,2293,1767,1647,1607,1669,2020-01-06,0
AUT,2,1902,1600,1551,1611,1649,1564,1473,1537,1705,1775,1582,1671,1563,1659,1543,1768,1626,2340,1842,1709,1700,1683.5,2020-01-13,0
AUT,3,2027,1460,1523,1619,1661,1678,1559,1416,1624,1915,1573,1513,1586,1612,1578,1837,1608,2060,1786,1641,1797,1663.8,2020-01-20,0
AUT,4,1940,1566,1639,1618,1658,1570,1524,1459,1583,1992,1573,1560,1595,1584,1463,1792,1578,1938,1714,1713,1777,1652.95,2020-01-27,0
AUT,5,1928,1529,1572,1625,1723,1681,1489,1545,1610,1974,1544,1521,1545,1752,1574,1837,1609,2045,1870,1732,1946,1685.25,2020-02-03,0
AUT,6,1760,1473,1543,1594,1614,1774,1658,1554,1518,1920,1551,1598,1760,1748,1677,1926,1650,1874,1938,1796,1677,1696.3,2020-02-10,0
AUT,7,1666,1432,1555,1688,1581,1853,1478,1556,1532,1723,1598,1622,1895,1815,1671,1992,1621,1750,1881,1820,1720,1686.45,2020-02-17,0
AUT,8,1628,1514,1605,1843,1521,1813,1525,1667,1509,1751,1647,1586,1796,1711,1600,2020,1581,1807,1951,1751,1712,1691.3,2020-02-24,0
AUT,9,1566,1438,1465,1881,1604,1841,1434,1615,1583,1715,1554,1520,1805,1668,1623,1883,1714,1696,2021,1764,1765,1669.5,2020-03-02,0
AUT,10,1524,1488,1565,1904,1526,1695,1500,1549,1484,1619,1554,1597,1762,1729,1564,1846,1532,1614,1965,1811,1731,1641.4,2020-03-09,0
AUT,11,1528,1511,1581,1766,1473,1614,1476,1536,1504,1479,1560,1588,1763,1690,1647,1763,1516,1542,1946,1790,1707,1613.65,2020-03-16,0
AUT,12,1501,1518,1482,1654,1439,1494,1513,1514,1476,1446,1578,1555,1650,1684,1607,1696,1499,1535,1641,1619,1826,1555.05,2020-03-23,0
AUT,13,1428,1360,1399,1597,1480,1448,1592,1445,1499,1493,1509,1497,1653,1650,1492,1725,1598,1489,1766,1651,1749,1538.55,2020-03-30,0
AUT,14,1475,1445,1527,1524,1431,1477,1458,1437,1499,1473,1352,1463,1508,1611,1590,1604,1562,1537,1617,1607,,1509.85,2020-04-06,0
AUT,15,1543,1506,1531,1452,1408,1439,1412,1428,1505,1492,1486,1426,1499,1627,1497,1563,1520,1532,1560,1556,,1499.1,2020-04-13,0
AUT,16,1391,1441,1447,1432,1404,1358,1428,1373,1491,1446,1442,1482,1499,1569,1538,1614,1413,1475,1557,1558,,1467.9,2020-04-20,0
AUT,17,1392,1509,1390,1415,1371,1373,1360,1405,1375,1436,1453,1482,1525,1532,1476,1547,1460,1440,1383,1521,,1442.25,2020-04-27,0
AUT,18,1290,1508,1433,1410,1390,1371,1391,1403,1392,1350,1446,1402,1516,1407,1536,1453,1447,1527,1434,1462,,1428.4,2020-05-04,0
AUT,19,1279,1402,1439,1490,1272,1417,1446,1341,1395,1458,1410,1470,1437,1432,1539,1452,1486,1434,1372,1453,,1421.2,2020-05-11,0
AUT,20,1320,1361,1415,1345,1386,1361,1371,1328,1391,1347,1388,1347,1450,1443,1405,1461,1453,1501,1342,1558,,1398.65,2020-05-18,0
AUT,21,1336,1312,1379,1353,1340,1438,1411,1484,1386,1439,1425,1473,1457,1398,1515,1396,1505,1327,1383,1497,,1412.7,2020-05-25,0
AUT,22,1265,1354,1352,1419,1328,1233,1341,1332,1383,1374,1455,1353,1379,1477,1442,1304,1402,1456,1415,1495,,1377.95,2020-06-01,0
AUT,23,1383,1291,1357,1410,1352,1279,1387,1307,1334,1335,1582,1382,1419,1460,1407,1437,1360,1312,1433,1520,,1387.35,2020-06-08,0
AUT,24,1428,1335,1418,1475,1370,1388,1500,1346,1332,1348,1326,1340,1344,1435,1476,1502,1348,1421,1392,1554,,1403.9,2020-06-15,0
