Country,Week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average,Date,Baseline
BEL,1,2814,2282,2432,2260,2436,2339,2247,2213,2407,2246,2280,2334,2286,2236,2214,2461,2244,2557,2382,2308,2224,2348.9,2020-01-06,0
BEL,2,2761,2244,2484,2238,2536,2292,2169,2197,2371,2466,2352,2323,2218,2267,2200,2525,2234,2735,2317,2347,2380,2363.8,2020-01-13,0
BEL,3,2640,2300,2542,2247,2312,2277,2220,2186,2343,2635,2303,2191,2232,2238,2136,2526,2295,2645,2336,2312,2303,2345.8,2020-01-20,0
BEL,4,2633,2302,2573,2220,2162,2181,2152,2020,2207,2612,2226,2030,2233,2444,2090,2510,2263,2691,2253,2395,2190,2309.85,2020-01-27,0
BEL,5,2403,2241,2473,2220,2240,2292,2076,2115,2142,2525,2248,2144,2358,2576,2190,2644,2180,2950,2355,2421,2354,2339.65,2020-02-03,0
BEL,6,2201,2239,2369,2237,2136,2337,2164,2294,2072,2601,2151,2066,2445,2448,2225,2727,2127,2691,2353,2544,2161,2321.35,2020-02-10,0
BEL,7,2168,2055,2173,2157,2003,2369,2203,2278,2156,2508,2260,2068,2717,2444,2167,2892,2121,2631,2565,2409,2298,2317.2,2020-02-17,0
BEL,8,2127,1988,2179,2266,2044,2357,2128,2325,2192,2248,2210,2053,2770,2435,2196,2774,2230,2389,2628,2418,2287,2297.85,2020-02-24,0
BEL,9,2055,2134,2086,2293,2105,2464,2104,2255,2168,2319,2116,1972,2650,2549,2131,2643,2336,2315,3002,2428,2231,2306.25,2020-03-02,0
BEL,10,2029,2177,2156,2224,2032,2457,2112,2132,2056,2184,2144,2144,2480,2572,2070,2457,2264,2138,3016,2389,2202,2261.65,2020-03-09,0
BEL,11,2012,2016,2104,2157,2002,2435,2173,2015,2159,2011,2092,2077,2427,2343,2198,2380,2248,2036,2724,2335,2214,2197.2,2020-03-16,0
BEL,12,1931,1960,2020,2009,2093,2263,2113,1921,2130,1969,2036,2049,2162,2364,2152,2380,2364,2106,2594,2167,2543,2139.15,2020-03-23,0
BEL,13,1894,2050,2006,2113,1934,2071,2101,2000,2150,1951,2024,2014,2206,2365,2048,2270,2273,2068,2460,2063,3175,2103.05,2020-03-30,0
BEL,14,1973,2107,2090,2021,1986,1997,1958,2028,2235,1932,1918,1936,2099,2418,2175,2163,2080,1969,2203,2183,4016,2073.55,2020-04-06,0
BEL,15,2002,1892,2025,2128,1877,1965,2052,1988,2164,2008,1948,1898,2122,2415,2028,2218,2160,1954,2175,1969,4271,2049.4,2020-04-13,0
BEL,16,1952,1986,2034,2251,2042,1889,1893,1986,2136,1937,1929,2046,2110,2254,1920,2152,2049,1917,2044,2095,3689,2031.1,2020-04-20,0
BEL,17,1966,1989,2041,2122,1892,1976,1893,1915,2072,1954,1956,1934,2027,2139,2017,2087,1996,2079,1953,2046,3014,2002.7,2020-04-27,0
BEL,18,1907,2021,1892,1980,1887,1829,1969,1834,2007,1869,1894,1882,2091,1940,1892,2005,2087,2091,1867,2011,2393,1947.75,2020-05-04,0
BEL,19,1953,2096,1883,1962,1816,1835,1826,1740,1981,1737,1967,1962,2020,1960,1936,2063,2065,2009,1980,2034,,1941.25,2020-05-11,0
BEL,20,1834,1929,1998,1860,1857,1949,1881,1820,2041,1786,1989,1872,1879,1988,2000,1976,1926,2110,1860,2034,,1929.45,2020-05-18,0
BEL,21,1789,1923,1877,1833,1825,2033,1741,1858,1877,1834,1886,1959,2086,1984,1948,1950,1946,2009,1951,1995,,1915.2,2020-05-25,0
BEL,22,1864,2008,1866,2067,1809,1855,1802,1795,1808,1875,2029,1997,1904,2017,1957,1905,1885,1981,1953,1933,,1915.5,2020-06-01,0
BEL,23,1937,1892,1952,2010,1885,1746,1866,1931,1778,1850,1882,1870,1897,2179,1948,1942,1856,1815,1811,1966,,1900.65,2020-06-08,0
BEL,24,1799,1959,1878,1900,1905,1899,2060,1823,1836,1877,1736,1888,1845,1999,1898,2003,1851,1868,1734,1847,,1880.25,2020-06-15,0
BEL,25,2026,1936,1922,1873,1799,2057,1878,1762,1853,1816,1961,1832,1902,2032,1853,1900,1920,2101,1779,1913,,1905.75,2020-06-22,0
BEL,26,1919,1978,1824,1897,1799,1806,1810,1731,1903,1949,2200,2037,2016,1850,1865,1888,1846,1821,1950,1980,,1903.45,2020-06-29,0
BEL,27,1922,2008,1842,1713,1853,1650,2038,1749,1886,1944,2063,1970,1864,1828,1867,2301,1899,1901,2080,1935,,1915.65,2020-07-06,0
