Country,Week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average,Date,Baseline
ESP,1,9414,8740,10026,9314,4972,10846,8240,9898,11851,5488,8205,8886,9765,9260,10528,5713,8658,10726,12363,8453,8192,9067.3,2020-01-06,0
ESP,2,9875,7281,9076,7673,8649,11299,7923,8807,8982,9319,8640,8440,9131,8422,9009,10415,8671,11414,10905,9968,8928,9194.95,2020-01-13,0
ESP,3,9626,7138,8968,8410,8053,11057,7936,8477,8690,9868,8322,8419,9241,8562,9126,10738,8791,11334,10981,10406,9426,9207.15,2020-01-20,0
ESP,4,9426,7435,8798,8248,8005,10154,7665,8505,8150,9522,8063,8699,8936,8328,9061,10625,8491,11068,10324,10090,9398,8979.65,2020-01-27,0
ESP,5,8759,7359,8845,8051,7669,10247,7936,9021,8095,8868,8154,8657,9256,8359,8867,11046,8461,10636,9893,9930,9470,8905.45,2020-02-03,0
ESP,6,7858,7147,8518,8127,7597,9599,7862,9198,8283,8451,7954,8684,10064,8320,8996,10682,8556,9660,10015,9618,8765,8759.45,2020-02-10,0
ESP,7,7514,7239,8186,7658,7339,8866,7978,8466,8347,8046,8283,8496,11103,8609,8829,10857,8479,9017,10105,9310,8377,8636.35,2020-02-17,0
ESP,8,7219,7141,8079,8005,7481,8823,7577,8009,8188,7986,8059,8135,10993,8508,8396,10580,8670,8670,9656,9168,7941,8467.15,2020-02-24,0
ESP,9,7014,7425,7874,7694,7579,8567,7893,8016,8190,7844,7471,7822,10535,8472,8252,10058,8645,8371,9599,8882,7930,8310.15,2020-03-02,0
ESP,10,6918,7431,7821,7559,7952,9000,7956,7503,7796,7743,7498,7970,9309,8739,8107,9421,8653,8213,9203,8548,8005,8167,2020-03-09,0
ESP,11,6647,6829,7545,7207,7751,8595,7597,7396,7908,7652,7778,7851,8907,7947,7813,8785,8811,7906,8862,8161,8545,7897.4,2020-03-16,0
ESP,12,6566,6784,7442,7164,7417,7894,7300,7704,7518,7425,7568,7529,8088,8131,8034,8379,8291,7875,8616,7994,10841,7685.95,2020-03-23,0
ESP,13,6846,6591,6847,7206,7171,7536,7248,7756,7731,7337,7237,7625,8135,7703,7728,8366,8375,7827,8628,8125,15525,7600.9,2020-03-30,0
ESP,14,6793,6714,7205,7077,7211,7113,7014,7628,7738,7377,7299,7545,7759,7561,7743,8282,7998,7814,8414,8036,16217,7516.05,2020-04-06,0
ESP,15,7011,6629,7029,7194,7070,7004,6869,7568,7496,7285,7476,7071,7626,7551,7635,7894,7859,7800,8335,8016,13985,7420.9,2020-04-13,0
ESP,16,6793,6654,6995,7061,7278,7022,6735,7460,7347,7176,7156,6915,7683,7253,7258,7855,7589,7574,8112,7767,11129,7284.15,2020-04-20,0
ESP,17,6553,6796,6999,7062,7029,6957,6851,7029,7322,7286,7228,7090,7551,7020,6999,7802,7462,7661,7735,7696,8986,7206.4,2020-04-27,0
ESP,18,6627,6665,6629,6899,6832,6816,6776,6820,6981,6994,6815,6941,7394,7054,7307,7365,7606,7520,7359,7707,7963,7055.35,2020-05-04,0
ESP,19,6305,6769,6466,6690,6827,6525,6699,7162,7075,7310,6884,6988,7625,7166,7344,7464,7374,7622,7595,7664,,7077.7,2020-05-11,0
ESP,20,6392,6763,6617,6887,6745,6627,6865,7086,6527,7030,7272,6855,7235,7032,7049,7543,7533,7494,7511,7491,,7027.7,2020-05-18,0
ESP,21,6052,6752,6562,6750,6927,6787,6523,6711,6775,7053,7159,7218,6972,6940,6904,7234,7304,7666,7527,7382,,6959.9,2020-05-25,0
ESP,22,6630,7196,6385,6914,6624,6528,6484,6772,6440,6712,7162,6743,7010,6988,6832,7096,7255,7092,7306,7567,,6886.8,2020-06-01,0
ESP,23,6147,6560,6270,6805,6512,6516,6817,6844,6556,6759,6475,6690,6771,7173,7136,7364,7576,7067,7109,7469,,6830.8,2020-06-08,0
ESP,24,6538,6256,6802,7690,6590,6578,6588,6789,6771,6803,6496,6851,6499,7314,7404,7152,7140,7819,7154,6970,,6910.2,2020-06-15,0
ESP,25,6324,6539,6981,7727,6421,6908,6629,6717,7015,7016,6808,7030,6589,6670,7248,6956,7173,7991,7713,7356,,6990.55,2020-06-22,0
ESP,26,6309,6951,6698,7363,6395,6570,6600,6565,7283,6714,7220,7393,7267,6916,6852,7111,7345,7137,7698,7502,,6994.45,2020-06-29,0
ESP,27,6385,6763,6470,6650,6868,6271,6630,6723,7127,7041,7355,6873,6451,7301,6851,8146,7505,7156,7305,7975,,6992.3,2020-07-06,0
ESP,28,6071,6474,6217,7120,6223,6489,7154,6680,6754,6519,7298,6827,6675,7807,6736,8351,7423,7214,7366,7406,,6940.2,2020-07-13,0
ESP,29,6359,6129,6504,6855,6274,6423,7433,6623,6645,6588,6888,6618,6612,7063,7065,8164,7377,7259,7186,7241,,6865.3,2020-07-20,0
ESP,30,6152,6380,6525,7188,6738,6369,7349,6715,6673,6693,6648,6698,6844,6904,7127,7798,7295,7110,7155,7396,,6887.85,2020-07-27,0
ESP,31,6355,7179,6477,7777,7034,6233,6883,7268,6953,6759,6651,6892,6742,6795,6867,7349,7425,7596,7731,7057,,7001.15,2020-08-03,0
ESP,32,6200,6796,6068,8654,6693,6374,6554,6608,6870,6703,6752,6821,6959,6734,6891,7219,7233,7186,8003,7228,,6927.3,2020-08-10,0
ESP,33,6489,6546,6116,8774,6507,6096,6142,6418,6764,6679,6545,7051,6842,6771,6724,7075,7102,7118,7194,7038,,6799.55,2020-08-17,0
ESP,34,6119,6544,6043,7003,6296,6079,6449,6304,6577,6997,6822,6887,7157,6757,6643,6801,7184,7219,7015,6833,,6686.45,2020-08-24,0
ESP,35,6056,6299,6044,6564,6381,6321,6586,6492,6379,6786,6557,6635,6536,6477,6995,6954,7100,7013,6927,6824,,6596.3,2020-08-31,0
ESP,36,5964,6147,6042,6268,6277,5942,6755,6396,6375,6482,6410,6605,6652,6418,7057,6603,7203,6680,6906,6799,,6499.05,2020-09-07,0
