Country,Week,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average,Date,Baseline
SWE,1,2081,2192,1910,1962,1840,1927,1914,2012,1998,1943,1818,1977.9,2020-01-06,0
SWE,2,1899,2010,1953,1968,1787,1966,1860,2149,1941,1820,1890,1935.3,2020-01-13,0
SWE,3,1942,1953,1919,1999,1846,1935,1914,2122,1945,1839,1827,1941.4,2020-01-20,0
SWE,4,1865,1867,1876,1945,1758,1946,1958,2060,1928,1828,1727,1903.1,2020-01-27,0
SWE,5,1919,1841,1840,1986,1864,1975,2006,1910,1854,1812,1846,1900.7,2020-02-03,0
SWE,6,1848,1830,1874,2024,1887,1868,1909,1883,1983,1882,1727,1898.8,2020-02-10,0
SWE,7,1836,1761,1931,1879,1894,2001,1837,1881,2024,1764,1819,1880.8,2020-02-17,0
SWE,8,1786,1784,2082,1971,1784,2107,1838,2010,2116,1820,1774,1929.8,2020-02-24,0
SWE,9,1813,1862,2060,2090,1792,2076,1845,2069,2187,1772,1776,1956.6,2020-03-02,0
SWE,10,1874,1902,2125,1934,1746,2041,1861,1989,2204,1690,1823,1936.6,2020-03-09,0
SWE,11,1844,1882,2037,1883,1693,1932,1810,1830,2089,1829,1724,1882.9,2020-03-16,0
SWE,12,1741,1785,2010,1909,1796,1874,1800,1849,1997,1632,1858,1839.3,2020-03-23,0
SWE,13,1814,1779,1890,1870,1638,1930,1795,1692,1948,1665,2029,1802.1,2020-03-30,0
SWE,14,1754,1823,1819,1911,1758,1834,1778,1782,1988,1698,2369,1814.5,2020-04-06,0
SWE,15,1731,1757,1811,1876,1652,1849,1705,1794,1782,1612,2554,1756.9,2020-04-13,0
SWE,16,1749,1748,1907,1812,1700,1844,1773,1719,1687,1736,2493,1767.5,2020-04-20,0
SWE,17,1745,1758,1738,1803,1644,1764,1771,1768,1639,1698,2218,1732.8,2020-04-27,0
SWE,18,1720,1657,1725,1735,1675,1656,1604,1772,1661,1613,,1681.8,2020-05-04,0
SWE,19,1695,1673,1627,1682,1742,1661,1619,1696,1572,1643,,1661,2020-05-11,0
SWE,20,1647,1681,1727,1570,1635,1668,1586,1724,1486,1557,,1628.1,2020-05-18,0
SWE,21,1620,1636,1740,1576,1651,1670,1565,1584,1460,1486,,1598.8,2020-05-25,0
SWE,22,1615,1617,1621,1544,1549,1627,1550,1646,1481,1541,,1579.1,2020-06-01,0
SWE,23,1588,1577,1659,1536,1565,1617,1541,1620,1513,1544,,1576,2020-06-08,0
SWE,24,1574,1587,1515,1535,1546,1609,1462,1549,1441,1444,,1526.2,2020-06-15,0
SWE,25,1571,1552,1528,1659,1610,1592,1541,1590,1500,1526,,1566.9,2020-06-22,0
SWE,26,1615,1523,1622,1595,1638,1525,1573,1491,1633,1512,,1572.7,2020-06-29,0
SWE,27,1644,1570,1599,1633,1580,1674,1541,1587,1588,1537,,1595.3,2020-07-06,0
SWE,28,1635,1620,1639,1504,1692,1560,1549,1549,1585,1558,,1589.1,2020-07-13,0
SWE,29,1682,1566,1592,1570,1610,1529,1605,1525,1724,1482,,1588.5,2020-07-20,0
SWE,30,1602,1679,1551,1552,1674,1538,1616,1512,1642,1514,,1588,2020-07-27,0
SWE,31,1600,1605,1625,1499,1659,1588,1630,1484,1723,1491,,1590.4,2020-08-03,0
SWE,32,1583,1567,1635,1573,1607,1524,1574,1536,1450,1548,,1559.7,2020-08-10,0
SWE,33,1573,1508,1613,1508,1590,1535,1574,1552,1505,1486,,1544.4,2020-08-17,0
SWE,34,1506,1629,1586,1553,1612,1563,1567,1545,1495,1542,,1559.8,2020-08-24,0
SWE,35,1569,1621,1559,1598,1668,1458,1567,1527,1584,1642,,1579.3,2020-08-31,0
SWE,36,1647,1581,1593,1611,1691,1648,1686,1568,1617,1441,,1608.3,2020-09-07,0
SWE,37,1614,1605,1609,1614,1500,1552,1556,1596,1516,1559,,1572.1,2020-09-14,0
SWE,38,1717,1562,1527,1580,1630,1566,1536,1590,1645,1540,,1589.3,2020-09-21,0
SWE,39,1652,1745,1642,1576,1639,1633,1531,1562,1553,1648,,1618.1,2020-09-28,0
SWE,40,1628,1723,1688,1612,1683,1651,1601,1532,1606,1638,,1636.2,2020-10-05,0
SWE,41,1594,1723,1710,1547,1675,1528,1598,1708,1715,1654,,1645.2,2020-10-12,0
SWE,42,1755,1692,1667,1700,1687,1574,1662,1695,1542,1622,,1659.6,2020-10-19,0
SWE,43,1696,1698,1652,1686,1678,1698,1750,1648,1660,1724,,1689,2020-10-26,0
SWE,44,1694,1744,1692,1613,1671,1658,1626,1644,1706,1638,,1668.6,2020-11-02,0
SWE,45,1640,1652,1728,1654,1669,1652,1718,1757,1640,1698,,1680.8,2020-11-09,0
SWE,46,1791,1709,1683,1600,1765,1710,1717,1608,1541,1674,,1679.8,2020-11-16,0
SWE,47,1719,1650,1667,1683,1622,1678,1771,1753,1534,1712,,1678.9,2020-11-23,0
SWE,48,1750,1659,1693,1800,1678,1691,1702,1700,1780,1688,,1714.1,2020-11-30,0
SWE,49,1862,1728,1718,1799,1663,1805,1790,1740,1787,1731,,1762.3,2020-12-07,0
SWE,50,1849,1849,1767,1742,1796,1669,1842,1765,1720,1719,,1771.8,2020-12-14,0
SWE,51,1842,1848,1962,1725,1826,1753,1858,1797,1741,1826,,1817.8,2020-12-21,0
SWE,52,2002,1839,1912,1888,1923,1737,1868,1815,1758,1718,,1846,2020-12-28,0
