Country,Week,2013,2014,2015,2016,2017,2018,2019,2020,Average,Date,Baseline
USA,1,59430,53269,59335,55784,59760,66129,58290,59441,58856.71428571428,2020-01-06,0
USA,2,60790,55617,61731,55523,60975,67491,58347,59725,60067.71428571428,2020-01-13,0
USA,3,59159,54569,61135,55178,59286,64641,58189,58227,58879.57142857143,2020-01-20,0
USA,4,57843,54077,58622,55602,58045,62777,57830,57647,57828,2020-01-27,0
USA,5,56345,53950,57264,54891,58427,60972,58125,57117,57139.142857142855,2020-02-03,0
USA,6,55683,53387,57277,55103,59037,61107,58489,57489,57154.71428571428,2020-02-10,0
USA,7,54418,53805,56413,55781,58474,59774,57914,56748,56654.142857142855,2020-02-17,0
USA,8,53468,52634,56342,54862,58283,57790,57857,56643,55890.857142857145,2020-02-24,0
USA,9,53049,51669,55659,55871,57250,56690,57917,56694,55443.57142857143,2020-03-02,0
USA,10,53332,52052,55724,56106,57469,57089,58497,56030,55752.71428571428,2020-03-09,0
USA,11,53016,51774,55262,54452,56650,56317,57895,53789,55052.28571428572,2020-03-16,0
USA,12,52068,51381,54253,54660,57041,55758,57084,53808,54606.42857142857,2020-03-23,0
USA,13,51788,50848,53229,53879,55697,54913,56669,57144,53860.42857142857,2020-03-30,0
USA,14,51322,50740,52999,54059,55153,55285,56593,63799,53735.857142857145,2020-04-06,0
USA,15,50842,50520,52690,53484,54858,55223,55477,65519,53299.142857142855,2020-04-13,0
USA,16,49531,49732,52839,53144,53067,54031,54454,52518,52399.71428571428,2020-04-20,0
USA,17,48348,49741,51603,51020,53289,53719,53646,,51623.71428571428,2020-04-27,0
USA,18,48353,49587,51457,51266,52654,53734,53972,,51574.71428571428,2020-05-04,0
USA,19,47909,50314,51651,50992,51981,52101,53458,,51200.857142857145,2020-05-11,0
USA,20,47334,47925,50667,50461,52476,50617,53548,,50432.57142857143,2020-05-18,0
USA,21,47283,48592,49324,50487,50967,50923,53668,,50177.71428571428,2020-05-25,0
USA,22,46585,48154,49713,49706,51248,51037,52710,,49879,2020-06-01,0
USA,23,46966,47743,49033,49914,51412,51998,53126,,50027.42857142857,2020-06-08,0
USA,24,46523,47710,49743,49906,50790,51383,52626,,49811.57142857143,2020-06-15,0
USA,25,46442,47529,49101,49617,51192,51043,52266,,49598.57142857143,2020-06-22,0
USA,26,46370,47334,49053,49743,50611,50851,52182,,49449.142857142855,2020-06-29,0
USA,27,46628,47234,49207,49695,50957,51681,52324,,49675.142857142855,2020-07-06,0
USA,28,45762,47284,48908,49632,49972,51188,51912,,49236.857142857145,2020-07-13,0
USA,29,46127,47085,49220,49266,50120,50604,51617,,49148.42857142857,2020-07-20,0
USA,30,46170,47114,48538,49690,49360,50267,51616,,48965,2020-07-27,0
USA,31,46137,46928,48256,49501,50084,50633,51357,,48985.142857142855,2020-08-03,0
USA,32,46001,46876,47728,49734,50232,50963,51653,,49026.71428571428,2020-08-10,0
USA,33,45822,46633,47972,49806,50184,50295,50934,,48806.57142857143,2020-08-17,0
USA,34,45999,46623,48430,49502,49514,50453,50966,,48783.857142857145,2020-08-24,0
USA,35,46265,46388,48487,49573,50824,50600,51106,,49034.71428571428,2020-08-31,0
USA,36,45572,47284,48714,50066,50973,50292,51772,,49239,2020-09-07,0
USA,37,46183,46804,48758,49907,51692,51081,51547,,49424.57142857143,2020-09-14,0
USA,38,46550,47930,48851,49871,51226,51576,51677,,49668.71428571428,2020-09-21,0
USA,39,46651,48403,49222,50248,51339,50951,52680,,49927.71428571428,2020-09-28,0
USA,40,47484,48352,48802,51394,52102,52348,52469,,50421.57142857143,2020-10-05,0
USA,41,47294,49338,50947,52120,51571,51846,52880,,50856.57142857143,2020-10-12,0
USA,42,47597,49218,49829,51434,52215,52971,54151,,51059.28571428572,2020-10-19,0
USA,43,47734,49038,50658,51860,52537,53757,53927,,51358.71428571428,2020-10-26,0
USA,44,48773,48935,50378,51734,53663,53632,54006,,51588.71428571428,2020-11-02,0
USA,45,48934,50944,51154,52516,53233,53558,55511,,52264.28571428572,2020-11-09,0
USA,46,49395,50355,50666,53432,53762,54694,55730,,52576.28571428572,2020-11-16,0
USA,47,49584,52466,51383,53120,54117,54844,56058,,53081.71428571428,2020-11-23,0
USA,48,49278,51755,51193,54492,54757,55055,55283,,53116.142857142855,2020-11-30,0
USA,49,50807,52721,51989,55125,55590,55962,57068,,54180.28571428572,2020-12-07,0
USA,50,51842,53541,53549,55973,57363,56380,57382,,55147.142857142855,2020-12-14,0
USA,51,52538,54617,51835,56686,59500,56523,57120,,55545.57142857143,2020-12-21,0
USA,52,51940,56021,52756,57603,61084,56024,58140,,56224,2020-12-28,0
