month,day,total,total-color,retweets,retweets-color,original,original-color,highestLikes,highestLikes-color,highestRetweets,highestRetweets-color,totalLikes,totalLikes-color,letters,letters-color,capitalLetters,capitalLetters-color,loudness,loudness-color,likeRate,likeRate-color,totalRetweets,totalRetweets-color,retweetRate,retweetRate-color,most-popular-text,most-popular-id,most-popular-date
2017-01-01,1,6,#edf7fe,5,#e3f3fd,1,#fcfeff,126230,#ddf1fd,32665,#d7eefd,126230,#f5fbfe,93,#fcfeff,18,#fafdff,19.35483870967742,#9dd5f9,21038.333333333332,#f2f9fe,72804,#f0f9fe,12134,#c9e9fc,"TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we… https://t.co/1asdMAL4iy",815422340540547073,2017-01-01 06:00
2017-01-01,2,5,#f0f8fe,0,#ffffff,5,#f0f8fe,124024,#ddf1fd,29248,#dbf0fd,311181,#e6f4fe,459,#f1f9fe,42,#f4fafe,9.15032679738562,#d0ebfc,62236.2,#d8effd,73101,#f0f9fe,14620.2,#bee4fb,"Well&#44; the New Year begins. We will&#44; together&#44; MAKE AMERICA GREAT AGAIN!",815930688889352192,2017-01-02 03:40
2017-01-01,3,11,#ddf1fd,0,#ffffff,11,#ddf1fd,92256,#e6f4fe,26703,#def1fd,671413,#c9e8fc,1076,#dff1fd,93,#e6f4fd,8.643122676579926,#d3ecfc,61037.545454545456,#d9effd,173538,#dbf0fd,15776.181818181818,#b9e2fb,"North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!",816057920223846400,2017-01-03 12:05
2017-01-01,4,11,#ddf1fd,0,#ffffff,11,#ddf1fd,86542,#e8f5fe,23441,#e2f3fd,642879,#cbe9fc,1123,#ddf1fd,75,#ebf6fe,6.678539626001781,#ddf1fd,58443.545454545456,#dbf0fd,164608,#ddf1fd,14964.363636363636,#bce3fb,"Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow",816635078067490816,2017-01-04 02:19
2017-01-01,5,6,#edf7fe,0,#ffffff,6,#edf7fe,107842,#e2f3fd,32121,#d7eefd,421006,#def1fd,642,#ecf7fe,53,#f1f9fe,8.255451713395638,#d5edfc,70167.66666666667,#d3edfc,105763,#e9f6fe,17627.166666666668,#b2defa,"Toyota Motor said will build a new plant in Baja&#44; Mexico&#44; to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",817071792711942145,2017-01-05 07:14
2017-01-01,6,12,#daeffd,0,#ffffff,12,#daeffd,96091,#e5f4fd,26007,#dff1fd,725071,#c4e7fb,1277,#d9effd,132,#dbf0fd,10.33672670321065,#cae9fc,60422.583333333336,#daeffd,185275,#d9effd,15439.583333333334,#bbe2fb,"Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!",817453219613917185,2017-01-06 08:30
2017-01-01,7,7,#eaf6fe,0,#ffffff,7,#eaf6fe,100987,#e4f3fd,29384,#dbf0fd,518190,#d6eefc,683,#ebf6fe,32,#f6fbfe,4.685212298682284,#e7f5fe,74027.14285714286,#d1ecfc,126499,#e5f4fd,18071.285714285714,#b0defa,"Having a good relationship with Russia is a good thing&#44; not a bad thing. Only &#34;stupid&#34; people&#44; or fools&#44; would think that it is bad! We.....",817748207694467072,2017-01-07 04:02
2017-01-01,8,7,#eaf6fe,1,#f9fdff,6,#edf7fe,85216,#e8f5fe,20653,#e6f4fd,346708,#e4f3fd,589,#eef8fe,43,#f3fafe,7.300509337860781,#daeffd,49529.71428571428,#e0f2fd,88280,#edf7fe,12611.42857142857,#c7e8fc,"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain&#44; a longtime U.S. ally&#44; is very special!",817915516018892805,2017-01-08 03:07
2017-01-01,9,8,#e7f5fe,0,#ffffff,8,#e7f5fe,123554,#def1fd,37502,#d1ebfc,726207,#c4e7fb,781,#e8f5fe,48,#f2f9fe,6.145966709346991,#e0f2fd,90775.875,#c6e7fc,172996,#dbf0fd,21624.5,#a1d7fa,"An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf",818586286034485250,2017-01-09 11:32
2017-01-01,10,4,#f3fafe,0,#ffffff,4,#f3fafe,93051,#e6f4fd,23231,#e3f3fd,228134,#edf7fe,224,#f8fcff,24,#f9fcff,10.714285714285714,#c8e8fc,57033.5,#dcf0fd,56680,#f3fafe,14170,#c0e5fb,"Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv",818643528905621504,2017-01-10 03:20
2017-01-01,11,7,#eaf6fe,1,#f9fdff,6,#edf7fe,115066,#e0f2fd,31725,#d8eefd,514637,#d6eefc,502,#f0f9fe,149,#d6eefd,29.681274900398407,#69bff7,73519.57142857143,#d1ecfc,156971,#dff1fd,22424.428571428572,#9dd5f9,"I win an election easily&#44; a great &#34;movement&#34; is verified&#44; and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",819162968592183298,2017-01-11 01:44
2017-01-01,12,6,#edf7fe,0,#ffffff,6,#edf7fe,127608,#dcf0fd,35250,#d3edfc,547614,#d3edfc,621,#edf7fe,66,#edf7fe,10.628019323671497,#c8e8fc,91269,#c6e7fb,130610,#e4f4fd,21768.333333333332,#a0d7fa,".@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!",819550083742109696,2017-01-12 03:22
2017-01-01,13,8,#e7f5fe,0,#ffffff,8,#e7f5fe,129591,#dcf0fd,30025,#daeffd,626433,#cdeafc,807,#e7f5fe,45,#f3fafe,5.5762081784386615,#e3f3fd,78304.125,#ceeafc,136100,#e3f3fd,17012.5,#b4dffb,"The &#34;Unaffordable&#34; Care Act will soon be history!",819869953692155904,2017-01-13 12:33
2017-01-01,14,3,#f6fbfe,0,#ffffff,3,#f6fbfe,87998,#e7f5fe,21049,#e5f4fd,233300,#edf7fe,279,#f7fbff,68,#edf7fe,24.372759856630825,#82caf8,77766.66666666667,#ceebfc,56654,#f3fafe,18884.666666666668,#acdcfa,"Congressman John Lewis should spend more time on fixing and helping his district&#44; which is in horrible shape and falling apart (not to......",820251730407473153,2017-01-14 01:50
2017-01-01,15,8,#e7f5fe,0,#ffffff,8,#e7f5fe,127759,#dcf0fd,29527,#dbf0fd,726576,#c4e7fb,844,#e6f4fd,68,#edf7fe,8.056872037914692,#d6eefc,90822,#c6e7fc,158347,#def1fd,19793.375,#a9dafa,"For many years our country has been divided&#44; angry and untrusting. Many say it will never change&#44; the hatred is too deep. IT WILL CHANGE!!!!",820707210565132288,2017-01-15 08:00
2017-01-01,16,3,#f6fbfe,0,#ffffff,3,#f6fbfe,161320,#d3ecfc,37896,#d0ebfc,265493,#eaf6fe,319,#f6fbfe,29,#f7fcff,9.090909090909092,#d0ebfc,88497.66666666667,#c8e8fc,63332,#f2f9fe,21110.666666666668,#a3d8fa,"Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!",820992721120854016,2017-01-16 02:54
2017-01-01,17,13,#d7eefd,2,#f4fafe,11,#ddf1fd,120615,#def1fd,24946,#e0f2fd,786500,#bfe4fb,1041,#e0f2fd,69,#ecf7fe,6.628242074927954,#ddf1fd,60500,#daeffd,182213,#d9effd,14016.384615384615,#c1e5fb,"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday&#44; Friday and Saturday!",821342600322043905,2017-01-17 02:05
