day,sun,rain,temp
Tue.,![](https://vis4.net/i/sun1.png) 3h,![](https://vis4.net/i/rain2.png) 6mm,"13<span style=""color:#888""> / 8°C</span>"
Wed.,![](https://vis4.net/i/sun0.png) 0h,![](https://vis4.net/i/rain3.png) 10mm,"12<span style=""color:#888""> / 8°C</span>"
Thu.,![](https://vis4.net/i/sun1.png) 2h,![](https://vis4.net/i/rain3.png) 8mm,"13<span style=""color:#888""> / 9°C</span>"
Fri.,![](https://vis4.net/i/sun2.png) 6h,![](https://vis4.net/i/rain0.png) 0mm,"15<span style=""color:#888""> / 8°C</span>"
Sat.,![](https://vis4.net/i/sun2.png) 9h,![](https://vis4.net/i/rain0.png) 0mm,"18<span style=""color:#888""> / 8°C</span>"
Sun.,![](https://vis4.net/i/sun3.png) 11h,![](https://vis4.net/i/rain0.png) 0mm,"20<span style=""color:#888""> / 9°C</span>"
Mon.,![](https://vis4.net/i/sun3.png) 11h,![](https://vis4.net/i/rain0.png) 0mm,"21<span style=""color:#888""> / 11°C</span>"
Tue.,![](https://vis4.net/i/sun2.png) 9h,![](https://vis4.net/i/rain0.png) 0mm,"22<span style=""color:#888""> / 12°C</span>"
Wed.,![](https://vis4.net/i/sun2.png) 9h,![](https://vis4.net/i/rain0.png) 0mm,"22<span style=""color:#888""> / 13°C</span>"
Thu.,![](https://vis4.net/i/sun2.png) 8h,![](https://vis4.net/i/rain0.png) 0mm,"22<span style=""color:#888""> / 13°C</span>"
