LGA code,75 or older,S/T name,LGA name
89399,5.35617196,Australian Capital Territory,Unincorporated ACT
17200,3.400949083,New South Wales,Sydney (C)
11200,3.538175047,New South Wales,Brewarrina (A)
11450,3.567731696,New South Wales,Camden (A)
10750,4.006665759,New South Wales,Blacktown (C)
11500,4.366952727,New South Wales,Campbelltown (C) (NSW)
16350,4.368077304,New South Wales,Penrith (C)
14900,4.397917262,New South Wales,Liverpool (C)
16490,4.78396072,New South Wales,Queanbeyan-Palerang Regional (A)
12380,5.016541005,New South Wales,Cumberland (A)
17420,5.220010227,New South Wales,The Hills Shire (A)
18400,5.224933677,New South Wales,Wollondilly (A)
17000,5.323728741,New South Wales,Singleton (A)
14170,5.365741917,New South Wales,Inner West (A)
15650,5.434450754,New South Wales,Muswellbrook (A)
16260,5.560718049,New South Wales,Parramatta (C)
11750,5.71060541,New South Wales,Cobar (A)
11150,5.714285714,New South Wales,Bourke (A)
15050,5.828617054,New South Wales,Maitland (C)
17100,5.896517922,New South Wales,Strathfield (A)
18050,6.015209637,New South Wales,Waverley (A)
13800,6.06573942,New South Wales,Hawkesbury (C)
11700,6.144643828,New South Wales,Central Darling (A)
11350,6.154328554,New South Wales,Byron (A)
15300,6.160923007,New South Wales,Moree Plains (A)
16550,6.219763699,New South Wales,Randwick (C)
14700,6.298094882,New South Wales,Lane Cove (A)
11720,6.301575394,New South Wales,Cessnock (C)
18250,6.311199793,New South Wales,Willoughby (C)
12850,6.314272893,New South Wales,Fairfield (C)
15950,6.3715493,New South Wales,North Sydney (A)
14300,6.52401616,New South Wales,Junee (A)
11570,6.637700871,New South Wales,Canterbury-Bankstown (A)
10500,6.736137582,New South Wales,Bayside (A)
16700,6.801197523,New South Wales,Ryde (C)
18710,6.823901211,New South Wales,Yass Valley (A)
11600,6.859592712,New South Wales,Carrathool (A)
17750,6.979987128,New South Wales,Wagga Wagga (C)
15900,7.043503995,New South Wales,Newcastle (C)
11520,7.090367841,New South Wales,Canada Bay (A)
10470,7.091109175,New South Wales,Bathurst Regional (A)
17900,7.290441794,New South Wales,Walgett (A)
16900,7.310911747,New South Wales,Shellharbour (C)
12930,7.346790326,New South Wales,Georges River (A)
11300,7.347581995,New South Wales,Burwood (A)
12390,7.354939593,New South Wales,Dubbo Regional (A)
16150,7.472144355,New South Wales,Orange (C)
15560,7.531273934,New South Wales,Murrumbidgee (A)
12150,7.604850935,New South Wales,Coonamble (A)
14000,7.611519213,New South Wales,Hornsby (A)
19399,7.699805068,New South Wales,Unincorporated NSW
15750,7.750285497,New South Wales,Narrabri (A)
10300,7.784431138,New South Wales,Balranald (A)
10900,7.897065143,New South Wales,Blue Mountains (C)
17150,7.919830364,New South Wales,Sutherland Shire (A)
10130,7.940478898,New South Wales,Armidale Regional (A)
13450,7.958119057,New South Wales,Griffith (C)
10850,7.968559425,New South Wales,Blayney (A)
15990,7.990888449,New South Wales,Northern Beaches (A)
16100,8.076141194,New South Wales,Oberon (A)
14850,8.097592237,New South Wales,Lismore (C)
10050,8.124666532,New South Wales,Albury (C)
17040,8.146188988,New South Wales,Snowy Monaro Regional (A)
18450,8.254399076,New South Wales,Wollongong (C)
12700,8.415578903,New South Wales,Dungog (A)
17620,8.448519041,New South Wales,Upper Hunter Shire (A)
17650,8.449767132,New South Wales,Uralla (A)
17310,8.455253354,New South Wales,Tamworth Regional (A)
13340,8.472686734,New South Wales,Greater Hume Shire (A)
14750,8.484054172,New South Wales,Leeton (A)
15270,8.558076908,New South Wales,Mid-Western Regional (A)
13310,8.627778492,New South Wales,Goulburn Mulwaree (A)
11400,8.698841132,New South Wales,Cabonne (A)
13550,8.769024525,New South Wales,Gunnedah (A)
18200,8.80476393,New South Wales,Wentworth (A)
18500,8.863892771,New South Wales,Woollahra (A)
16200,9.13257397,New South Wales,Parkes (A)
15350,9.305703496,New South Wales,Mosman (A)
14650,9.312242291,New South Wales,Lake Macquarie (C)
14500,9.34150197,New South Wales,Ku-ring-gai (A)
11800,9.414185333,New South Wales,Coffs Harbour (C)
17080,9.551764625,New South Wales,Snowy Valleys (A)
14550,9.561164166,New South Wales,Kyogle (A)
