function,1,2,3,4,5,6,7,8,9,10,mean
find(),0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0
check(),2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,6.888888888888889
get(),0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.888888888888889
filter(),0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,6.777777777777778
pick(),0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,6.444444444444445
lookup(),0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,5.555555555555555
search(),0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,5.444444444444445
compute(),2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.222222222222222
select(),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.111111111111111
read(),0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,5.111111111111111
parse(),0.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.777777777777778
fetch(),2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.888888888888889
